"id","confidence_level","confidence_value","order"
10115,"lower_CI",0,333
10115,"upper_CI",11.3,99666
10116,"lower_CI",0,335
10116,"upper_CI",9.9,99664
10117,"lower_CI",11.6,337
10117,"upper_CI",83.3,99662
10118,"lower_CI",3.9,339
10118,"upper_CI",11.7,99660
10119,"lower_CI",4.1,341
10119,"upper_CI",8.9,99658
10120,"lower_CI",21.4,343
10120,"upper_CI",34.3,99656
10121,"lower_CI",2.2,345
10121,"upper_CI",9.3,99654
10122,"lower_CI",1.1,347
10122,"upper_CI",8.7,99652
10123,"lower_CI",14.5,349
10123,"upper_CI",35.9,99650
10124,"lower_CI",0.4,351
10124,"upper_CI",4.1,99648
10125,"lower_CI",0.6,353
10125,"upper_CI",6.7,99646
10126,"lower_CI",18.8,355
10126,"upper_CI",34.7,99644
10127,"lower_CI",2.2,357
10127,"upper_CI",8.9,99642
10128,"lower_CI",18,359
10128,"upper_CI",8.5,99640
10129,"lower_CI",22.5,361
10129,"upper_CI",38.8,99638
10130,"lower_CI",1.7,363
10130,"upper_CI",7.9,99636
10131,"lower_CI",0,365
10131,"upper_CI",11.1,99634
10132,"lower_CI",24.1,367
10132,"upper_CI",53.5,99632
10133,"lower_CI",0,369
10133,"upper_CI",7.2,99630
10578,"lower_CI",18,371
10578,"upper_CI",27.8,99628
10579,"lower_CI",16.1,373
10579,"upper_CI",26.5,99626
10580,"lower_CI",12.3,375
10580,"upper_CI",22,99624
10581,"lower_CI",16.5,377
10581,"upper_CI",32.6,99622
10582,"lower_CI",18.3,379
10582,"upper_CI",32.7,99620
10583,"lower_CI",8.8,381
10583,"upper_CI",27.4,99618
10584,"lower_CI",19.1,383
10584,"upper_CI",45.3,99616
10585,"lower_CI",27.3,385
10585,"upper_CI",61.6,99614
10586,"lower_CI",0.7,387
10586,"upper_CI",25,99612
10587,"lower_CI",10.6,389
10587,"upper_CI",26.5,99610
10588,"lower_CI",6.3,391
10588,"upper_CI",22.1,99608
10589,"lower_CI",7.7,393
10589,"upper_CI",25.8,99606
10590,"lower_CI",8.8,395
10590,"upper_CI",37.5,99604
10591,"lower_CI",0,397
10591,"upper_CI",7.6,99602
10592,"lower_CI",5.9,399
10592,"upper_CI",44.1,99600
10593,"lower_CI",4.9,401
10593,"upper_CI",26.6,99598
10594,"lower_CI",0,403
10594,"upper_CI",55.5,99596
10595,"lower_CI",,405
10595,"upper_CI",,99594
10596,"lower_CI",15.5,407
10596,"upper_CI",41.7,99592
10597,"lower_CI",24.3,409
10597,"upper_CI",66.3,99590
10598,"lower_CI",0,411
10598,"upper_CI",7.6,99588
10599,"lower_CI",13.9,413
10599,"upper_CI",41.5,99586
10600,"lower_CI",10,415
10600,"upper_CI",31.6,99584
10601,"lower_CI",1.8,417
10601,"upper_CI",23.2,99582
10602,"lower_CI",14.3,419
10602,"upper_CI",23.3,99580
10603,"lower_CI",7,421
10603,"upper_CI",29,99578
10604,"lower_CI",0,423
10604,"upper_CI",14.1,99576
10605,"lower_CI",3.3,425
10605,"upper_CI",27.5,99574
10606,"lower_CI",7,427
10606,"upper_CI",30.7,99572
10607,"lower_CI",0,429
10607,"upper_CI",3.3,99570
10608,"lower_CI",16.8,431
10608,"upper_CI",20.3,99568
10609,"lower_CI",0,433
10609,"upper_CI",39.4,99566
10610,"lower_CI",40.8,435
10610,"upper_CI",42.3,99564
10611,"lower_CI",9.7,437
10611,"upper_CI",21.3,99562
10612,"lower_CI",5.7,439
10612,"upper_CI",16.3,99560
10613,"lower_CI",11.8,441
10613,"upper_CI",28.4,99558
10614,"lower_CI",10,443
10614,"upper_CI",28.9,99556
10615,"lower_CI",7.2,445
10615,"upper_CI",28.3,99554
10616,"lower_CI",8.5,447
10616,"upper_CI",20.7,99552
10617,"lower_CI",16.5,449
10617,"upper_CI",31.8,99550
10618,"lower_CI",18.3,451
10618,"upper_CI",36,99548
10619,"lower_CI",9.8,453
10619,"upper_CI",26.9,99546
10620,"lower_CI",15.7,455
10620,"upper_CI",26.5,99544
10621,"lower_CI",9.9,457
10621,"upper_CI",24,99542
10622,"lower_CI",6.4,459
10622,"upper_CI",19.6,99540
10623,"lower_CI",14.7,461
10623,"upper_CI",42.6,99538
10624,"lower_CI",11.8,463
10624,"upper_CI",37.8,99536
10625,"lower_CI",14.1,465
10625,"upper_CI",38.6,99534
10307,"lower_CI",38,467
10307,"upper_CI",44.7,99532
10308,"lower_CI",33.9,469
10308,"upper_CI",41.8,99530
10309,"lower_CI",42.1,471
10309,"upper_CI",55.3,99528
10310,"lower_CI",3.6,473
10310,"upper_CI",9.9,99526
10311,"lower_CI",4.3,475
10311,"upper_CI",9.8,99524
10312,"lower_CI",2.2,477
10312,"upper_CI",4.8,99522
10313,"lower_CI",53.4,479
10313,"upper_CI",61.1,99520
10314,"lower_CI",35.8,481
10314,"upper_CI",44.4,99518
10315,"lower_CI",1.5,483
10315,"upper_CI",3.8,99516
10316,"lower_CI",3.1,485
10316,"upper_CI",8.6,99514
10317,"lower_CI",5.2,487
10317,"upper_CI",8.5,99512
10318,"lower_CI",62.7,489
10318,"upper_CI",69.1,99510
10319,"lower_CI",21.3,491
10319,"upper_CI",29,99508
10320,"lower_CI",43.3,493
10320,"upper_CI",54.1,99506
10321,"lower_CI",77.1,495
10321,"upper_CI",85,99504
10322,"lower_CI",45.4,497
10322,"upper_CI",56.1,99502
10323,"lower_CI",3.5,499
10323,"upper_CI",11,99500
10324,"lower_CI",37.2,501
10324,"upper_CI",46.7,99498
10352,"lower_CI",,503
10352,"upper_CI",,99496
10353,"lower_CI",,505
10353,"upper_CI",,99494
10354,"lower_CI",,507
10354,"upper_CI",,99492
10355,"lower_CI",,509
10355,"upper_CI",,99490
10356,"lower_CI",,511
10356,"upper_CI",,99488
10357,"lower_CI",,513
10357,"upper_CI",,99486
10358,"lower_CI",,515
10358,"upper_CI",,99484
10359,"lower_CI",,517
10359,"upper_CI",,99482
10360,"lower_CI",,519
10360,"upper_CI",,99480
10361,"lower_CI",,521
10361,"upper_CI",,99478
10362,"lower_CI",,523
10362,"upper_CI",,99476
10363,"lower_CI",,525
10363,"upper_CI",,99474
10364,"lower_CI",,527
10364,"upper_CI",,99472
10365,"lower_CI",,529
