"date","state","cases","deaths","state_name"
"08/18/2020","NY",,4,"New York"
"09/10/2020","MD",,2,"Maryland"
"08/27/2020","CA",,143,"California"
"08/21/2020","RMI",0,0,
"03/12/2020","NJ",,,"New Jersey"
"05/31/2020","TX",,24,"Texas"
"02/14/2020","NY",,,"New York"
"03/27/2020","AR",,,"Arkansas"
"02/21/2020","CA",,,"California"
"01/28/2020","WY",,,"Wyoming"
"01/28/2020","ND",,,"North Dakota"
"12/04/2020","TN",392608,110,"Tennessee"
"02/22/2020","PA",,,"Pennsylvania"
"03/04/2020","OK",,,"Oklahoma"
"10/30/2020","CO",104426,14,"Colorado"
"09/18/2020","CA",,91,"California"
"09/24/2020","TX",,138,"Texas"
"01/28/2020","IN",,,"Indiana"
"11/18/2020","VA",210788,47,"Virginia"
"12/05/2020","KY",198065,27,"Kentucky"
"12/10/2020","AL",284922,54,"Alabama"
"06/12/2020","MN",,25,"Minnesota"
"06/12/2020","MN",,25,"Montana"
"07/16/2020","VA",75433,6,"Virginia"
"10/22/2020","AR",,25,"Arkansas"
"05/27/2020","IL",114306,160,"Illinois"
"08/11/2020","KY",35793,8,"Kentucky"
"05/16/2020","MS",11296,10,"Mississippi"
"07/15/2020","NY",,6,"New York"
"11/06/2020","CO",124469,24,"Colorado"
"07/15/2020","MN",,16,"Minnesota"
"07/15/2020","MN",,16,"Montana"
"10/15/2020","MS",109255,11,"Mississippi"
"03/08/2020","CO",,,"Colorado"
"05/16/2020","RMI",0,0,
"11/04/2020","RMI",1,0,
"06/03/2020","AL",18851,0,"Alabama"
"07/20/2020","GA",147804,3,"Georgia"
"10/28/2020","MN",,19,"Minnesota"
"10/28/2020","MN",,19,"Montana"
"08/14/2020","RMI",0,0,
"02/28/2020","OH",,,"Ohio"
"02/11/2020","OH",,,"Ohio"
"02/14/2020","CO",,,"Colorado"
"02/29/2020","NY",,,"New York"
"10/25/2020","PA",194288,23,"Pennsylvania"
"09/12/2020","MD",,2,"Maryland"
"05/13/2020","ND",1647,2,"North Dakota"
"03/18/2020","NM",,,"New Mexico"
"02/10/2020","NE",,,"Nebraska"
"12/18/2020","AS",,0,
"05/06/2020","AR",,4,"Arkansas"
"04/27/2020","KY",4146,5,"Kentucky"
"10/06/2020","NYC",248885,3,
"08/05/2020","NM",,9,"New Mexico"
"02/12/2020","OK",,,"Oklahoma"
"12/06/2020","MA",257455,48,"Massachusetts"
"02/15/2020","AL",,,"Alabama"
"03/24/2020","OH",,,"Ohio"
"02/11/2020","MS",,,"Mississippi"
"05/11/2020","MI",47552,33,"Michigan"
"09/28/2020","MS",97049,0,"Mississippi"
"03/15/2020","MN",,,"Minnesota"
"03/15/2020","MN",,,"Montana"
"02/10/2020","FL",,,"Florida"
"11/23/2020","LA",,24,"Louisiana"
"06/11/2020","GA",54011,46,"Georgia"
"04/12/2020","NM",,,"New Mexico"
"06/11/2020","VA",53211,15,"Virginia"
"03/01/2020","NV",,,"Nevada"
"05/08/2020","AR",,0,"Arkansas"
"02/02/2020","MI",,,"Michigan"
"04/30/2020","FL",,50,"Florida"
"11/20/2020","WA",,16,"Washington"
"10/10/2020","FL",,0,"Florida"
"07/22/2020","AZ",150609,56,"Arizona"
"03/12/2020","MA",,,"Massachusetts"
"03/23/2020","MI",,,"Michigan"
"01/29/2020","PR",,,"Puerto Rico"
"12/18/2020","MN",,70,"Minnesota"
"12/18/2020","MN",,70,"Montana"
"10/18/2020","WI",175227,0,"Wisconsin"
"07/06/2020","NV",,3,"Nevada"
"06/21/2020","ID",4006,0,"Idaho"
"09/14/2020","MN",,5,"Minnesota"
"09/14/2020","MN",,5,"Montana"
"10/27/2020","WI",217429,78,"Wisconsin"
"11/30/2020","WA",,70,"Washington"
"08/31/2020","VA",121615,32,"Virginia"
"07/01/2020","MN",,13,"Minnesota"
"07/01/2020","MN",,13,"Montana"
"04/15/2020","NE",,,"Nebraska"
"07/30/2020","RMI",0,0,
"07/26/2020","MA",115637,19,"Massachusetts"
"02/09/2020","NY",,,"New York"
"11/28/2020","MS",151785,38,"Mississippi"
"09/26/2020","OH",150009,6,"Ohio"
"02/15/2020","WA",,,"Washington"
"01/29/2020","AR",,,"Arkansas"
"02/12/2020","MI",,,"Michigan"
"02/23/2020","VA",,,"Virginia"
