"Cat","year","geography","FIPS_code","geo_type","geo_full_name","geo_abbreviation","cat","age","eligible90"
"Total","2010","Utah",49,"state","Utah","UT","Total","1--2","36528"
"Total","2010","Utah",49,"state","Utah","UT","Total","3--5","42275"
"Total","2010","Utah",49,"state","Utah","UT","Total","6--9","35512"
"Total","2010","Utah",49,"state","Utah","UT","Total","10--14","30295"
"Total","2010","Utah",49,"state","Utah","UT","Total","15--18","18645"
"Total","2010","Utah",49,"state","Utah","UT","Total","19--20","5273"
"CN","2010","Texas",48,"state","Texas","TX","CN","< 1","170893"
"CN","2010","Texas",48,"state","Texas","TX","CN","1--2","488542"
"CN","2010","Texas",48,"state","Texas","TX","CN","3--5","619576"
"CN","2010","Texas",48,"state","Texas","TX","CN","6--9","652869"
"CN","2010","Texas",48,"state","Texas","TX","CN","10--14","617598"
"CN","2010","Texas",48,"state","Texas","TX","CN","15--18","396367"
"CN","2010","Texas",48,"state","Texas","TX","CN","19--20","131297"
"MN","2010","Texas",48,"state","Texas","TX","MN","< 1","34"
"MN","2010","Texas",48,"state","Texas","TX","MN","1--2","80"
"MN","2010","Texas",48,"state","Texas","TX","MN","3--5","86"
"MN","2010","Texas",48,"state","Texas","TX","MN","6--9","118"
"MN","2010","Texas",48,"state","Texas","TX","MN","10--14","107"
"MN","2010","Texas",48,"state","Texas","TX","MN","15--18","399"
"MN","2010","Texas",48,"state","Texas","TX","MN","19--20","4676"
"Total","2010","Texas",48,"state","Texas","TX","Total","< 1","170927"
"Total","2010","Texas",48,"state","Texas","TX","Total","1--2","488622"
"Total","2010","Texas",48,"state","Texas","TX","Total","3--5","619662"
"Total","2010","Texas",48,"state","Texas","TX","Total","6--9","652987"
"Total","2010","Texas",48,"state","Texas","TX","Total","10--14","617705"
"Total","2010","Texas",48,"state","Texas","TX","Total","15--18","396766"
"Total","2010","Texas",48,"state","Texas","TX","Total","19--20","135973"
"CN","2010","Tennessee",47,"state","Tennessee","TN","CN","< 1","40469"
"CN","2010","Tennessee",47,"state","Tennessee","TN","CN","1--2","100270"
"CN","2010","Tennessee",47,"state","Tennessee","TN","CN","3--5","133365"
"CN","2010","Tennessee",47,"state","Tennessee","TN","CN","6--9","144932"
"CN","2010","Tennessee",47,"state","Tennessee","TN","CN","10--14","154133"
"CN","2010","Tennessee",47,"state","Tennessee","TN","CN","15--18","113035"
"CN","2010","Tennessee",47,"state","Tennessee","TN","CN","19--20","41334"
"MN","2010","Tennessee",47,"state","Tennessee","TN","MN","< 1","84"
"MN","2010","Tennessee",47,"state","Tennessee","TN","MN","1--2","1235"
"MN","2010","Tennessee",47,"state","Tennessee","TN","MN","3--5","3354"
"MN","2010","Tennessee",47,"state","Tennessee","TN","MN","6--9","8272"
"MN","2010","Tennessee",47,"state","Tennessee","TN","MN","10--14","13155"
"MN","2010","Tennessee",47,"state","Tennessee","TN","MN","15--18","12226"
"MN","2010","Tennessee",47,"state","Tennessee","TN","MN","19--20","38323"
"Total","2010","Tennessee",47,"state","Tennessee","TN","Total","< 1","40553"
"Total","2010","Tennessee",47,"state","Tennessee","TN","Total","1--2","101505"
"Total","2010","Tennessee",47,"state","Tennessee","TN","Total","3--5","136719"
"Total","2010","Tennessee",47,"state","Tennessee","TN","Total","6--9","153204"
"Total","2010","Tennessee",47,"state","Tennessee","TN","Total","10--14","167288"
"Total","2010","Tennessee",47,"state","Tennessee","TN","Total","15--18","125261"
"Total","2010","Tennessee",47,"state","Tennessee","TN","Total","19--20","79657"
"CN","2010","South Dakota",46,"state","South Dakota","SD","CN","< 1","4367"
"CN","2010","South Dakota",46,"state","South Dakota","SD","CN","1--2","11057"
"CN","2010","South Dakota",46,"state","South Dakota","SD","CN","3--5","15304"
"CN","2010","South Dakota",46,"state","South Dakota","SD","CN","6--9","16769"
"CN","2010","South Dakota",46,"state","South Dakota","SD","CN","10--14","17289"
"CN","2010","South Dakota",46,"state","South Dakota","SD","CN","15--18","12977"
"CN","2010","South Dakota",46,"state","South Dakota","SD","CN","19--20","3644"
"MN","2010","South Dakota",46,"state","South Dakota","SD","MN","< 1","0"
"MN","2010","South Dakota",46,"state","South Dakota","SD","MN","1--2","0"
"MN","2010","South Dakota",46,"state","South Dakota","SD","MN","3--5","0"
"MN","2010","South Dakota",46,"state","South Dakota","SD","MN","6--9","0"
"MN","2010","South Dakota",46,"state","South Dakota","SD","MN","10--14","0"
"MN","2010","South Dakota",46,"state","South Dakota","SD","MN","15--18","0"
"MN","2010","South Dakota",46,"state","South Dakota","SD","MN","19--20","0"
"Total","2010","South Dakota",46,"state","South Dakota","SD","Total","< 1","4367"
"Total","2010","South Dakota",46,"state","South Dakota","SD","Total","1--2","11057"
"Total","2010","South Dakota",46,"state","South Dakota","SD","Total","3--5","15304"
"Total","2010","South Dakota",46,"state","South Dakota","SD","Total","6--9","16769"
"Total","2010","South Dakota",46,"state","South Dakota","SD","Total","10--14","17289"
"Total","2010","South Dakota",46,"state","South Dakota","SD","Total","15--18","12977"
"Total","2010","South Dakota",46,"state","South Dakota","SD","Total","19--20","3644"
"CN","2010","South Carolina",45,"state","South Carolina","SC","CN","< 1","31427"
"CN","2010","South Carolina",45,"state","South Carolina","SC","CN","1--2","77831"
"CN","2010","South Carolina",45,"state","South Carolina","SC","CN","3--5","100569"
"CN","2010","South Carolina",45,"state","South Carolina","SC","CN","6--9","111117"
"CN","2010","South Carolina",45,"state","South Carolina","SC","CN","10--14","118705"
"CN","2010","South Carolina",45,"state","South Carolina","SC","CN","15--18","87265"
"CN","2010","South Carolina",45,"state","South Carolina","SC","CN","19--20","27556"
"MN","2010","South Carolina",45,"state","South Carolina","SC","MN","< 1","0"
"MN","2010","South Carolina",45,"state","South Carolina","SC","MN","1--2","0"
"MN","2010","South Carolina",45,"state","South Carolina","SC","MN","3--5","0"
"MN","2010","South Carolina",45,"state","South Carolina","SC","MN","6--9","0"
"MN","2010","South Carolina",45,"state","South Carolina","SC","MN","10--14","0"
"MN","2010","South Carolina",45,"state","South Carolina","SC","MN","15--18","0"
"MN","2010","South Carolina",45,"state","South Carolina","SC","MN","19--20","0"
"Total","2010","South Carolina",45,"state","South Carolina","SC","Total","< 1","31427"
"Total","2010","South Carolina",45,"state","South Carolina","SC","Total","1--2","77831"
"Total","2010","South Carolina",45,"state","South Carolina","SC","Total","3--5","100569"
"Total","2010","South Carolina",45,"state","South Carolina","SC","Total","6--9","111117"
"Total","2010","South Carolina",45,"state","South Carolina","SC","Total","10--14","118705"
"Total","2010","South Carolina",45,"state","South Carolina","SC","Total","15--18","87265"
"Total","2010","South Carolina",45,"state","South Carolina","SC","Total","19--20","27556"
"CN","2010","Rhode Island",44,"state","Rhode Island","RI","CN","< 1","4368"
"CN","2010","Rhode Island",44,"state","Rhode Island","RI","CN","1--2","12723"
"CN","2010","Rhode Island",44,"state","Rhode Island","RI","CN","3--5","17628"
"CN","2010","Rhode Island",44,"state","Rhode Island","RI","CN","6--9","20927"
"CN","2010","Rhode Island",44,"state","Rhode Island","RI","CN","10--14","23989"
"CN","2010","Rhode Island",44,"state","Rhode Island","RI","CN","15--18","19201"
"CN","2010","Rhode Island",44,"state","Rhode Island","RI","CN","19--20","5371"
"MN","2010","Rhode Island",44,"state","Rhode Island","RI","MN","< 1","0"
"MN","2010","Rhode Island",44,"state","Rhode Island","RI","MN","1--2","0"
"MN","2010","Rhode Island",44,"state","Rhode Island","RI","MN","3--5","0"
"MN","2010","Rhode Island",44,"state","Rhode Island","RI","MN","6--9","0"
"MN","2010","Rhode Island",44,"state","Rhode Island","RI","MN","10--14","1"
"MN","2010","Rhode Island",44,"state","Rhode Island","RI","MN","15--18","52"
"MN","2010","Rhode Island",44,"state","Rhode Island","RI","MN","19--20","125"
"Total","2010","Rhode Island",44,"state","Rhode Island","RI","Total","< 1","4368"
"Total","2010","Rhode Island",44,"state","Rhode Island","RI","Total","1--2","12723"
"Total","2010","Rhode Island",44,"state","Rhode Island","RI","Total","3--5","17628"
"Total","2010","Rhode Island",44,"state","Rhode Island","RI","Total","6--9","20927"
"Total","2010","Rhode Island",44,"state","Rhode Island","RI","Total","10--14","23990"
"Total","2010","Rhode Island",44,"state","Rhode Island","RI","Total","15--18","19253"
"Total","2010","Rhode Island",44,"state","Rhode Island","RI","Total","19--20","5496"
"CN","2010","Pennsylvania",42,"state","Pennsylvania","PA","CN","< 1","53320"
"CN","2010","Pennsylvania",42,"state","Pennsylvania","PA","CN","1--2","145897"
"CN","2010","Pennsylvania",42,"state","Pennsylvania","PA","CN","3--5","193566"
"CN","2010","Pennsylvania",42,"state","Pennsylvania","PA","CN","6--9","215179"
"CN","2010","Pennsylvania",42,"state","Pennsylvania","PA","CN","10--14","234792"
"CN","2010","Pennsylvania",42,"state","Pennsylvania","PA","CN","15--18","185660"
"CN","2010","Pennsylvania",42,"state","Pennsylvania","PA","CN","19--20","81003"
"MN","2010","Pennsylvania",42,"state","Pennsylvania","PA","MN","< 1","25"
"MN","2010","Pennsylvania",42,"state","Pennsylvania","PA","MN","1--2","90"
"MN","2010","Pennsylvania",42,"state","Pennsylvania","PA","MN","3--5","156"
"MN","2010","Pennsylvania",42,"state","Pennsylvania","PA","MN","6--9","549"
"MN","2010","Pennsylvania",42,"state","Pennsylvania","PA","MN","10--14","910"
"MN","2010","Pennsylvania",42,"state","Pennsylvania","PA","MN","15--18","1982"
"MN","2010","Pennsylvania",42,"state","Pennsylvania","PA","MN","19--20","25105"
"Total","2010","Pennsylvania",42,"state","Pennsylvania","PA","Total","< 1","53345"
"Total","2010","Pennsylvania",42,"state","Pennsylvania","PA","Total","1--2","145987"
"Total","2010","Pennsylvania",42,"state","Pennsylvania","PA","Total","3--5","193722"
"Total","2010","Pennsylvania",42,"state","Pennsylvania","PA","Total","6--9","215728"
"Total","2010","Pennsylvania",42,"state","Pennsylvania","PA","Total","10--14","235702"
"Total","2010","Pennsylvania",42,"state","Pennsylvania","PA","Total","15--18","187642"
"Total","2010","Pennsylvania",42,"state","Pennsylvania","PA","Total","19--20","106108"
"CN","2010","Oregon",41,"state","Oregon","OR","CN","< 1","18080"
"CN","2010","Oregon",41,"state","Oregon","OR","CN","1--2","48082"
"CN","2010","Oregon",41,"state","Oregon","OR","CN","3--5","60717"
"CN","2010","Oregon",41,"state","Oregon","OR","CN","6--9","61166"
"CN","2010","Oregon",41,"state","Oregon","OR","CN","10--14","62049"
"CN","2010","Oregon",41,"state","Oregon","OR","CN","15--18","44706"
"CN","2010","Oregon",41,"state","Oregon","OR","CN","19--20","15852"
"MN","2010","Oregon",41,"state","Oregon","OR","MN","< 1","0"
"MN","2010","Oregon",41,"state","Oregon","OR","MN","1--2","0"
"MN","2010","Oregon",41,"state","Oregon","OR","MN","3--5","0"
"MN","2010","Oregon",41,"state","Oregon","OR","MN","6--9","0"
"MN","2010","Oregon",41,"state","Oregon","OR","MN","10--14","0"
"MN","2010","Oregon",41,"state","Oregon","OR","MN","15--18","0"
"MN","2010","Oregon",41,"state","Oregon","OR","MN","19--20","0"
"Total","2010","Oregon",41,"state","Oregon","OR","Total","< 1","18080"
"Total","2010","Oregon",41,"state","Oregon","OR","Total","1--2","48082"
"Total","2010","Oregon",41,"state","Oregon","OR","Total","3--5","60717"
"Total","2010","Oregon",41,"state","Oregon","OR","Total","6--9","61166"
"Total","2010","Oregon",41,"state","Oregon","OR","Total","10--14","62049"
"Total","2010","Oregon",41,"state","Oregon","OR","Total","15--18","44706"
"Total","2010","Oregon",41,"state","Oregon","OR","Total","19--20","15852"
"CN","2010","Oklahoma",40,"state","Oklahoma","OK","CN","< 1","26684"
"CN","2010","Oklahoma",40,"state","Oklahoma","OK","CN","1--2","72894"
"CN","2010","Oklahoma",40,"state","Oklahoma","OK","CN","3--5","98744"
"CN","2010","Oklahoma",40,"state","Oklahoma","OK","CN","6--9","112522"
"CN","2010","Oklahoma",40,"state","Oklahoma","OK","CN","10--14","116795"
"CN","2010","Oklahoma",40,"state","Oklahoma","OK","CN","15--18","79896"
"CN","2010","Oklahoma",40,"state","Oklahoma","OK","CN","19--20","22746"
"MN","2010","Oklahoma",40,"state","Oklahoma","OK","MN","< 1","0"
"MN","2010","Oklahoma",40,"state","Oklahoma","OK","MN","1--2","0"
"MN","2010","Oklahoma",40,"state","Oklahoma","OK","MN","3--5","0"
"MN","2010","Oklahoma",40,"state","Oklahoma","OK","MN","6--9","0"
"MN","2010","Oklahoma",40,"state","Oklahoma","OK","MN","10--14","0"
"MN","2010","Oklahoma",40,"state","Oklahoma","OK","MN","15--18","0"
"MN","2010","Oklahoma",40,"state","Oklahoma","OK","MN","19--20","0"
"Total","2010","Oklahoma",40,"state","Oklahoma","OK","Total","< 1","26684"
"Total","2010","Oklahoma",40,"state","Oklahoma","OK","Total","1--2","72894"
"Total","2010","Oklahoma",40,"state","Oklahoma","OK","Total","3--5","98744"
"Total","2010","Oklahoma",40,"state","Oklahoma","OK","Total","6--9","112522"
"Total","2010","Oklahoma",40,"state","Oklahoma","OK","Total","10--14","116795"
"Total","2010","Oklahoma",40,"state","Oklahoma","OK","Total","15--18","79896"
"Total","2010","Oklahoma",40,"state","Oklahoma","OK","Total","19--20","22746"
"CN","2010","Ohio",39,"state","Ohio","OH","CN","< 1","48507"
"CN","2010","Ohio",39,"state","Ohio","OH","CN","1--2","141441"
"CN","2010","Ohio",39,"state","Ohio","OH","CN","3--5","195329"
"CN","2010","Ohio",39,"state","Ohio","OH","CN","6--9","233541"
"CN","2010","Ohio",39,"state","Ohio","OH","CN","10--14","264375"
"CN","2010","Ohio",39,"state","Ohio","OH","CN","15--18","195083"
"CN","2010","Ohio",39,"state","Ohio","OH","CN","19--20","72485"
"MN","2010","Ohio",39,"state","Ohio","OH","MN","< 1","0"
"MN","2010","Ohio",39,"state","Ohio","OH","MN","1--2","0"
"MN","2010","Ohio",39,"state","Ohio","OH","MN","3--5","0"
"MN","2010","Ohio",39,"state","Ohio","OH","MN","6--9","0"
"MN","2010","Ohio",39,"state","Ohio","OH","MN","10--14","0"
"MN","2010","Ohio",39,"state","Ohio","OH","MN","15--18","0"
"MN","2010","Ohio",39,"state","Ohio","OH","MN","19--20","0"
"Total","2010","Ohio",39,"state","Ohio","OH","Total","< 1","48507"
"Total","2010","Ohio",39,"state","Ohio","OH","Total","1--2","141441"
"Total","2010","Ohio",39,"state","Ohio","OH","Total","3--5","195329"
"Total","2010","Ohio",39,"state","Ohio","OH","Total","6--9","233541"
"Total","2010","Ohio",39,"state","Ohio","OH","Total","10--14","264375"
"Total","2010","Ohio",39,"state","Ohio","OH","Total","15--18","195083"
"Total","2010","Ohio",39,"state","Ohio","OH","Total","19--20","72485"
"CN","2010","North Dakota",38,"state","North Dakota","ND","CN","< 1","2813"
"CN","2010","North Dakota",38,"state","North Dakota","ND","CN","1--2","7122"
"CN","2010","North Dakota",38,"state","North Dakota","ND","CN","3--5","9277"
"CN","2010","North Dakota",38,"state","North Dakota","ND","CN","6--9","8565"
"CN","2010","North Dakota",38,"state","North Dakota","ND","CN","10--14","8203"
"CN","2010","North Dakota",38,"state","North Dakota","ND","CN","15--18","5656"
"CN","2010","North Dakota",38,"state","North Dakota","ND","CN","19--20","2397"
"MN","2010","North Dakota",38,"state","North Dakota","ND","MN","< 1","10"
"MN","2010","North Dakota",38,"state","North Dakota","ND","MN","1--2","10"
"MN","2010","North Dakota",38,"state","North Dakota","ND","MN","3--5","15"
"MN","2010","North Dakota",38,"state","North Dakota","ND","MN","6--9","57"
"MN","2010","North Dakota",38,"state","North Dakota","ND","MN","10--14","89"
"MN","2010","North Dakota",38,"state","North Dakota","ND","MN","15--18","139"
"MN","2010","North Dakota",38,"state","North Dakota","ND","MN","19--20","604"
"Total","2010","North Dakota",38,"state","North Dakota","ND","Total","< 1","2823"
"Total","2010","North Dakota",38,"state","North Dakota","ND","Total","1--2","7132"
"Total","2010","North Dakota",38,"state","North Dakota","ND","Total","3--5","9292"
"Total","2010","North Dakota",38,"state","North Dakota","ND","Total","6--9","8622"
"Total","2010","North Dakota",38,"state","North Dakota","ND","Total","10--14","8292"
"Total","2010","North Dakota",38,"state","North Dakota","ND","Total","15--18","5795"
"Total","2010","North Dakota",38,"state","North Dakota","ND","Total","19--20","3001"
"CN","2010","North Carolina",37,"state","North Carolina","NC","CN","< 1","61822"
"CN","2010","North Carolina",37,"state","North Carolina","NC","CN","1--2","156452"
"CN","2010","North Carolina",37,"state","North Carolina","NC","CN","3--5","212554"
"CN","2010","North Carolina",37,"state","North Carolina","NC","CN","6--9","205635"
"CN","2010","North Carolina",37,"state","North Carolina","NC","CN","10--14","203404"
"CN","2010","North Carolina",37,"state","North Carolina","NC","CN","15--18","144057"
"CN","2010","North Carolina",37,"state","North Carolina","NC","CN","19--20","61220"
"MN","2010","North Carolina",37,"state","North Carolina","NC","MN","< 1","43"
"MN","2010","North Carolina",37,"state","North Carolina","NC","MN","1--2","87"
"MN","2010","North Carolina",37,"state","North Carolina","NC","MN","3--5","159"
"MN","2010","North Carolina",37,"state","North Carolina","NC","MN","6--9","281"
"MN","2010","North Carolina",37,"state","North Carolina","NC","MN","10--14","446"
"MN","2010","North Carolina",37,"state","North Carolina","NC","MN","15--18","547"
"MN","2010","North Carolina",37,"state","North Carolina","NC","MN","19--20","901"
"Total","2010","North Carolina",37,"state","North Carolina","NC","Total","< 1","61865"
"Total","2010","North Carolina",37,"state","North Carolina","NC","Total","1--2","156539"
"Total","2010","North Carolina",37,"state","North Carolina","NC","Total","3--5","212713"
"Total","2010","North Carolina",37,"state","North Carolina","NC","Total","6--9","205916"
"Total","2010","North Carolina",37,"state","North Carolina","NC","Total","10--14","203850"
"Total","2010","North Carolina",37,"state","North Carolina","NC","Total","15--18","144604"
"Total","2010","North Carolina",37,"state","North Carolina","NC","Total","19--20","62121"
"CN","2010","New York",36,"state","New York","NY","CN","< 1","21630"
"CN","2010","New York",36,"state","New York","NY","CN","1--2","104497"
"CN","2010","New York",36,"state","New York","NY","CN","3--5","171841"
"CN","2010","New York",36,"state","New York","NY","CN","6--9","122429"
"CN","2010","New York",36,"state","New York","NY","CN","10--14","120600"
"CN","2010","New York",36,"state","New York","NY","CN","15--18","98978"
"CN","2010","New York",36,"state","New York","NY","CN","19--20","34205"
"MN","2010","New York",36,"state","New York","NY","MN","< 1","113463"
"MN","2010","New York",36,"state","New York","NY","MN","1--2","179904"
"MN","2010","New York",36,"state","New York","NY","MN","3--5","173287"
"MN","2010","New York",36,"state","New York","NY","MN","6--9","253799"
"MN","2010","New York",36,"state","New York","NY","MN","10--14","278652"
"MN","2010","New York",36,"state","New York","NY","MN","15--18","226265"
"MN","2010","New York",36,"state","New York","NY","MN","19--20","149590"
"Total","2010","New York",36,"state","New York","NY","Total","< 1","135093"
"Total","2010","New York",36,"state","New York","NY","Total","1--2","284401"
"Total","2010","New York",36,"state","New York","NY","Total","3--5","345128"
"Total","2010","New York",36,"state","New York","NY","Total","6--9","376228"
"Total","2010","New York",36,"state","New York","NY","Total","10--14","399252"
"Total","2010","New York",36,"state","New York","NY","Total","15--18","325243"
"Total","2010","New York",36,"state","New York","NY","Total","19--20","183795"
"CN","2010","New Mexico",35,"state","New Mexico","NM","CN","< 1","17065"
"CN","2010","New Mexico",35,"state","New Mexico","NM","CN","1--2","45537"
"CN","2010","New Mexico",35,"state","New Mexico","NM","CN","3--5","64315"
"CN","2010","New Mexico",35,"state","New Mexico","NM","CN","6--9","74827"
"CN","2010","New Mexico",35,"state","New Mexico","NM","CN","10--14","79837"
"CN","2010","New Mexico",35,"state","New Mexico","NM","CN","15--18","58904"
"CN","2010","New Mexico",35,"state","New Mexico","NM","CN","19--20","14839"
"MN","2010","New Mexico",35,"state","New Mexico","NM","MN","< 1","0"
"MN","2010","New Mexico",35,"state","New Mexico","NM","MN","1--2","0"
"MN","2010","New Mexico",35,"state","New Mexico","NM","MN","3--5","0"
"MN","2010","New Mexico",35,"state","New Mexico","NM","MN","6--9","0"
"MN","2010","New Mexico",35,"state","New Mexico","NM","MN","10--14","0"
"MN","2010","New Mexico",35,"state","New Mexico","NM","MN","15--18","0"
"MN","2010","New Mexico",35,"state","New Mexico","NM","MN","19--20","0"
"Total","2010","New Mexico",35,"state","New Mexico","NM","Total","< 1","17065"
"Total","2010","New Mexico",35,"state","New Mexico","NM","Total","1--2","45537"
"Total","2010","New Mexico",35,"state","New Mexico","NM","Total","3--5","64315"
"Total","2010","New Mexico",35,"state","New Mexico","NM","Total","6--9","74827"
"Total","2010","New Mexico",35,"state","New Mexico","NM","Total","10--14","79837"
"Total","2010","New Mexico",35,"state","New Mexico","NM","Total","15--18","58904"
"Total","2010","New Mexico",35,"state","New Mexico","NM","Total","19--20","14839"
"CN","2010","New Jersey",34,"state","New Jersey","NJ","CN","< 1","30568"
"CN","2010","New Jersey",34,"state","New Jersey","NJ","CN","1--2","91317"
"CN","2010","New Jersey",34,"state","New Jersey","NJ","CN","3--5","118216"
"CN","2010","New Jersey",34,"state","New Jersey","NJ","CN","6--9","133502"
"CN","2010","New Jersey",34,"state","New Jersey","NJ","CN","10--14","138524"
"CN","2010","New Jersey",34,"state","New Jersey","NJ","CN","15--18","101030"
"CN","2010","New Jersey",34,"state","New Jersey","NJ","CN","19--20","34693"
"MN","2010","New Jersey",34,"state","New Jersey","NJ","MN","< 1","0"
"MN","2010","New Jersey",34,"state","New Jersey","NJ","MN","1--2","0"
"MN","2010","New Jersey",34,"state","New Jersey","NJ","MN","3--5","0"
"MN","2010","New Jersey",34,"state","New Jersey","NJ","MN","6--9","0"
"MN","2010","New Jersey",34,"state","New Jersey","NJ","MN","10--14","0"
"MN","2010","New Jersey",34,"state","New Jersey","NJ","MN","15--18","0"
"MN","2010","New Jersey",34,"state","New Jersey","NJ","MN","19--20","0"
"Total","2010","New Jersey",34,"state","New Jersey","NJ","Total","< 1","30568"
"Total","2010","New Jersey",34,"state","New Jersey","NJ","Total","1--2","91317"
"Total","2010","New Jersey",34,"state","New Jersey","NJ","Total","3--5","118216"
"Total","2010","New Jersey",34,"state","New Jersey","NJ","Total","6--9","133502"
"Total","2010","New Jersey",34,"state","New Jersey","NJ","Total","10--14","138524"
"Total","2010","New Jersey",34,"state","New Jersey","NJ","Total","15--18","101030"
"Total","2010","New Jersey",34,"state","New Jersey","NJ","Total","19--20","34693"
"CN","2010","New Hampshire",33,"state","New Hampshire","NH","CN","< 1","4062"
"CN","2010","New Hampshire",33,"state","New Hampshire","NH","CN","1--2","11134"
"CN","2010","New Hampshire",33,"state","New Hampshire","NH","CN","3--5","15232"
"CN","2010","New Hampshire",33,"state","New Hampshire","NH","CN","6--9","18309"
"CN","2010","New Hampshire",33,"state","New Hampshire","NH","CN","10--14","21090"
"CN","2010","New Hampshire",33,"state","New Hampshire","NH","CN","15--18","15501"
"CN","2010","New Hampshire",33,"state","New Hampshire","NH","CN","19--20","3755"
"MN","2010","New Hampshire",33,"state","New Hampshire","NH","MN","< 1","39"
"MN","2010","New Hampshire",33,"state","New Hampshire","NH","MN","1--2","111"
"MN","2010","New Hampshire",33,"state","New Hampshire","NH","MN","3--5","213"
"MN","2010","New Hampshire",33,"state","New Hampshire","NH","MN","6--9","277"
"MN","2010","New Hampshire",33,"state","New Hampshire","NH","MN","10--14","351"
"MN","2010","New Hampshire",33,"state","New Hampshire","NH","MN","15--18","289"
"MN","2010","New Hampshire",33,"state","New Hampshire","NH","MN","19--20","85"
"Total","2010","New Hampshire",33,"state","New Hampshire","NH","Total","< 1","4101"
"Total","2010","New Hampshire",33,"state","New Hampshire","NH","Total","1--2","11245"
"Total","2010","New Hampshire",33,"state","New Hampshire","NH","Total","3--5","15445"
"Total","2010","New Hampshire",33,"state","New Hampshire","NH","Total","6--9","18586"
"Total","2010","New Hampshire",33,"state","New Hampshire","NH","Total","10--14","21441"
"Total","2010","New Hampshire",33,"state","New Hampshire","NH","Total","15--18","15790"
"Total","2010","New Hampshire",33,"state","New Hampshire","NH","Total","19--20","3840"
"CN","2010","Nevada",32,"state","Nevada","NV","CN","< 1","14888"
"CN","2010","Nevada",32,"state","Nevada","NV","CN","1--2","33278"
"CN","2010","Nevada",32,"state","Nevada","NV","CN","3--5","40519"
"CN","2010","Nevada",32,"state","Nevada","NV","CN","6--9","40818"
"CN","2010","Nevada",32,"state","Nevada","NV","CN","10--14","38996"
"CN","2010","Nevada",32,"state","Nevada","NV","CN","15--18","26315"
"CN","2010","Nevada",32,"state","Nevada","NV","CN","19--20","11296"
"MN","2010","Nevada",32,"state","Nevada","NV","MN","< 1","0"
"MN","2010","Nevada",32,"state","Nevada","NV","MN","1--2","0"
"MN","2010","Nevada",32,"state","Nevada","NV","MN","3--5","0"
"MN","2010","Nevada",32,"state","Nevada","NV","MN","6--9","0"
"MN","2010","Nevada",32,"state","Nevada","NV","MN","10--14","0"
"MN","2010","Nevada",32,"state","Nevada","NV","MN","15--18","0"
"MN","2010","Nevada",32,"state","Nevada","NV","MN","19--20","0"
"Total","2010","Nevada",32,"state","Nevada","NV","Total","< 1","14888"
"Total","2010","Nevada",32,"state","Nevada","NV","Total","1--2","33278"
"Total","2010","Nevada",32,"state","Nevada","NV","Total","3--5","40519"
"Total","2010","Nevada",32,"state","Nevada","NV","Total","6--9","40818"
"Total","2010","Nevada",32,"state","Nevada","NV","Total","10--14","38996"
"Total","2010","Nevada",32,"state","Nevada","NV","Total","15--18","26315"
"Total","2010","Nevada",32,"state","Nevada","NV","Total","19--20","11296"
"CN","2010","Nebraska",31,"state","Nebraska","NE","CN","< 1","11347"
"CN","2010","Nebraska",31,"state","Nebraska","NE","CN","1--2","24428"
"CN","2010","Nebraska",31,"state","Nebraska","NE","CN","3--5","30517"
"CN","2010","Nebraska",31,"state","Nebraska","NE","CN","6--9","32651"
"CN","2010","Nebraska",31,"state","Nebraska","NE","CN","10--14","30200"
"CN","2010","Nebraska",31,"state","Nebraska","NE","CN","15--18","19542"
"CN","2010","Nebraska",31,"state","Nebraska","NE","CN","19--20","3923"
"MN","2010","Nebraska",31,"state","Nebraska","NE","MN","< 1","34"
"MN","2010","Nebraska",31,"state","Nebraska","NE","MN","1--2","19"
"MN","2010","Nebraska",31,"state","Nebraska","NE","MN","3--5","24"
"MN","2010","Nebraska",31,"state","Nebraska","NE","MN","6--9","42"
"MN","2010","Nebraska",31,"state","Nebraska","NE","MN","10--14","24"
"MN","2010","Nebraska",31,"state","Nebraska","NE","MN","15--18","257"
"MN","2010","Nebraska",31,"state","Nebraska","NE","MN","19--20","2037"
"Total","2010","Nebraska",31,"state","Nebraska","NE","Total","< 1","11381"
"Total","2010","Nebraska",31,"state","Nebraska","NE","Total","1--2","24447"
"Total","2010","Nebraska",31,"state","Nebraska","NE","Total","3--5","30541"
"Total","2010","Nebraska",31,"state","Nebraska","NE","Total","6--9","32693"
"Total","2010","Nebraska",31,"state","Nebraska","NE","Total","10--14","30224"
"Total","2010","Nebraska",31,"state","Nebraska","NE","Total","15--18","19799"
"Total","2010","Nebraska",31,"state","Nebraska","NE","Total","19--20","5960"
"CN","2010","Montana",30,"state","Montana","MT","CN","< 1","4606"
"CN","2010","Montana",30,"state","Montana","MT","CN","1--2","10897"
"CN","2010","Montana",30,"state","Montana","MT","CN","3--5","14132"
"CN","2010","Montana",30,"state","Montana","MT","CN","6--9","15305"
"CN","2010","Montana",30,"state","Montana","MT","CN","10--14","15047"
"CN","2010","Montana",30,"state","Montana","MT","CN","15--18","10313"
"CN","2010","Montana",30,"state","Montana","MT","CN","19--20","3106"
"MN","2010","Montana",30,"state","Montana","MT","MN","< 1","0"
"MN","2010","Montana",30,"state","Montana","MT","MN","1--2","1"
"MN","2010","Montana",30,"state","Montana","MT","MN","3--5","5"
"MN","2010","Montana",30,"state","Montana","MT","MN","6--9","6"
