"id","confidence_level","confidence_value","order"
1832,"lower_CI",50.2,325
1832,"upper_CI",59,9674
1838,"lower_CI",47.9,327
1838,"upper_CI",56.7,9672
1954,"lower_CI",NA,329
1954,"upper_CI",NA,9670
1957,"lower_CI",NA,331
1957,"upper_CI",NA,9668
2012,"lower_CI",48.6,333
2012,"upper_CI",55.3,9666
2105,"lower_CI",4.2,335
2105,"upper_CI",5.5,9664
5671,"lower_CI",10.7,337
5671,"upper_CI",11,9662
5690,"lower_CI",10.7,339
5690,"upper_CI",12.7,9660
5709,"lower_CI",9.1,341
5709,"upper_CI",17,9658
5728,"lower_CI",9.4,343
5728,"upper_CI",11.1,9656
5764,"lower_CI",10.3,345
5764,"upper_CI",11,9654
5783,"lower_CI",8.4,347
5783,"upper_CI",10.4,9652
5802,"lower_CI",9,349
5802,"upper_CI",11.1,9650
5821,"lower_CI",8.1,351
5821,"upper_CI",12.6,9648
5840,"lower_CI",11.5,353
5840,"upper_CI",18,9646
5859,"lower_CI",14,355
5859,"upper_CI",15.1,9644
5878,"lower_CI",11.4,357
5878,"upper_CI",13,9642
5897,"lower_CI",9.7,359
5897,"upper_CI",13.6,9640
5916,"lower_CI",11,361
5916,"upper_CI",15.2,9638
5935,"lower_CI",10.2,363
5935,"upper_CI",11.4,9636
5954,"lower_CI",9.7,365
5954,"upper_CI",11.4,9634
5973,"lower_CI",10.1,367
5973,"upper_CI",12.5,9632
5992,"lower_CI",9.6,369
5992,"upper_CI",12.1,9630
6011,"lower_CI",11.3,371
6011,"upper_CI",13.5,9628
6030,"lower_CI",10.3,373
6030,"upper_CI",12.3,9626
6049,"lower_CI",9.9,375
6049,"upper_CI",13.5,9624
6068,"lower_CI",10.4,377
6068,"upper_CI",12.2,9622
6087,"lower_CI",10.7,379
6087,"upper_CI",12.3,9620
6106,"lower_CI",11.3,381
6106,"upper_CI",12.7,9618
6125,"lower_CI",9.9,383
6125,"upper_CI",11.8,9616
6159,"lower_CI",9.1,385
6159,"upper_CI",10.7,9614
6178,"lower_CI",8.4,387
6178,"upper_CI",12.5,9612
6197,"lower_CI",8.8,389
6197,"upper_CI",11.9,9610
6216,"lower_CI",10.5,391
6216,"upper_CI",13.6,9608
6235,"lower_CI",9.8,393
6235,"upper_CI",13.7,9606
6254,"lower_CI",9.4,395
6254,"upper_CI",10.7,9604
6273,"lower_CI",7.4,397
6273,"upper_CI",10.3,9602
6292,"lower_CI",9.1,399
6292,"upper_CI",10,9600
6311,"lower_CI",10.5,401
6311,"upper_CI",12,9598
6330,"lower_CI",8.2,403
6330,"upper_CI",13.1,9596
6349,"lower_CI",8.7,405
6349,"upper_CI",9.8,9594
6368,"lower_CI",9.8,407
6368,"upper_CI",12,9592
6387,"lower_CI",10.1,409
6387,"upper_CI",12.3,9590
6406,"lower_CI",9.4,411
6406,"upper_CI",10.5,9588
6425,"lower_CI",8.8,413
6425,"upper_CI",12.7,9586
6444,"lower_CI",10.7,415
6444,"upper_CI",12.8,9584
6480,"lower_CI",9.4,417
6480,"upper_CI",11.1,9582
6499,"lower_CI",10.3,419
6499,"upper_CI",11.3,9580
6518,"lower_CI",6.4,421
6518,"upper_CI",9.2,9578
6537,"lower_CI",6.7,423
6537,"upper_CI",11.5,9576
6556,"lower_CI",8.9,425
6556,"upper_CI",10.4,9574
6575,"lower_CI",9.7,427
6575,"upper_CI",11.5,9572
6594,"lower_CI",9.6,429
6594,"upper_CI",12.6,9570
6613,"lower_CI",9.9,431
6613,"upper_CI",11.7,9568
6632,"lower_CI",8.6,433
6632,"upper_CI",14.9,9566
6651,"lower_CI",2.6,435
6651,"upper_CI",2.7,9564
6670,"lower_CI",2.7,437
6670,"upper_CI",3.7,9562
6689,"lower_CI",3.3,439
6689,"upper_CI",8.5,9560
6708,"lower_CI",1.8,441
6708,"upper_CI",2.6,9558
6727,"lower_CI",1.8,443
6727,"upper_CI",2.9,9556
6746,"lower_CI",2.5,445
6746,"upper_CI",2.9,9554
6765,"lower_CI",1.4,447
6765,"upper_CI",2.3,9552
6784,"lower_CI",1.6,449
6784,"upper_CI",2.5,9550
6803,"lower_CI",1.4,451
6803,"upper_CI",3.7,9548
6822,"lower_CI",2.9,453
6822,"upper_CI",6.6,9546
6841,"lower_CI",3,455
6841,"upper_CI",3.5,9544
6860,"lower_CI",2.5,457
6860,"upper_CI",3.3,9542
6879,"lower_CI",2.5,459
6879,"upper_CI",4.6,9540
6898,"lower_CI",2.3,461
6898,"upper_CI",4.4,9538
6917,"lower_CI",2.5,463
6917,"upper_CI",3.1,9536
6936,"lower_CI",2.1,465
6936,"upper_CI",2.9,9534
6955,"lower_CI",1.6,467
6955,"upper_CI",2.5,9532
6974,"lower_CI",1.6,469
6974,"upper_CI",2.8,9530
6993,"lower_CI",2.8,471
6993,"upper_CI",4,9528
7012,"lower_CI",3,473
7012,"upper_CI",4.2,9526
7031,"lower_CI",2.2,475
7031,"upper_CI",4.1,9524
7050,"lower_CI",2.5,477
7050,"upper_CI",3.5,9522
7069,"lower_CI",2.4,479
7069,"upper_CI",3.3,9520
7088,"lower_CI",2.4,481
7088,"upper_CI",3,9518
7107,"lower_CI",1.7,483
7107,"upper_CI",2.6,9516
7126,"lower_CI",3.1,485
7126,"upper_CI",4.6,9514
7145,"lower_CI",2.2,487
7145,"upper_CI",3.1,9512
7164,"lower_CI",1.7,489
7164,"upper_CI",3.8,9510
7183,"lower_CI",1.7,491
7183,"upper_CI",3.1,9508
7202,"lower_CI",1.9,493
7202,"upper_CI",3.4,9506
7221,"lower_CI",2.1,495
7221,"upper_CI",4.1,9504
7240,"lower_CI",2,497
7240,"upper_CI",2.7,9502
7259,"lower_CI",1,499
7259,"upper_CI",2.2,9500
7278,"lower_CI",2.1,501
7278,"upper_CI",2.6,9498
7297,"lower_CI",2.5,503
7297,"upper_CI",3.3,9496
7316,"lower_CI",2,505
7316,"upper_CI",4.7,9494
7335,"lower_CI",2.2,507
7335,"upper_CI",2.8,9492
7354,"lower_CI",2.3,509
7354,"upper_CI",3.5,9490
7373,"lower_CI",1.9,511
7373,"upper_CI",3,9488
7392,"lower_CI",2.1,513
7392,"upper_CI",2.7,9486
7411,"lower_CI",1.2,515
7411,"upper_CI",3,9484
7430,"lower_CI",3.3,517
7430,"upper_CI",4.6,9482
7449,"lower_CI",1.7,519
7449,"upper_CI",4.1,9480
7468,"lower_CI",2.4,521
7468,"upper_CI",3.3,9478
7487,"lower_CI",2.6,523
7487,"upper_CI",3.1,9476
7506,"lower_CI",1.1,525
7506,"upper_CI",2.5,9474
7525,"lower_CI",2.3,527
7525,"upper_CI",5.4,9472
7544,"lower_CI",2.3,529
7544,"upper_CI",3.1,9470
7563,"lower_CI",2.4,531
7563,"upper_CI",3.3,9468
7582,"lower_CI",1.4,533
7582,"upper_CI",2.6,9466
7601,"lower_CI",2.1,535
7601,"upper_CI",3,9464
7620,"lower_CI",1.6,537
7620,"upper_CI",5,9462
7639,"lower_CI",2.6,539
7639,"upper_CI",2.7,9460
7658,"lower_CI",2.7,541
7658,"upper_CI",3.7,9458
7677,"lower_CI",3.3,543
7677,"upper_CI",8.5,9456
7696,"lower_CI",1.8,545
7696,"upper_CI",2.6,9454
7715,"lower_CI",1.8,547
7715,"upper_CI",2.9,9452
7734,"lower_CI",2.5,549
7734,"upper_CI",2.9,9450
7753,"lower_CI",1.4,551
7753,"upper_CI",2.3,9448
7772,"lower_CI",1.6,553
7772,"upper_CI",2.5,9446
7791,"lower_CI",1.4,555
7791,"upper_CI",3.7,9444
7810,"lower_CI",2.9,557
7810,"upper_CI",6.6,9442
7829,"lower_CI",3,559
7829,"upper_CI",3.5,9440
7848,"lower_CI",2.5,561
7848,"upper_CI",3.3,9438
7867,"lower_CI",2.5,563
7867,"upper_CI",4.6,9436
7886,"lower_CI",2.3,565
7886,"upper_CI",4.4,9434
7905,"lower_CI",2.5,567
7905,"upper_CI",3.1,9432
7924,"lower_CI",2.1,569
7924,"upper_CI",2.9,9430
7943,"lower_CI",1.6,571
7943,"upper_CI",2.5,9428
7962,"lower_CI",1.6,573
7962,"upper_CI",2.8,9426
7981,"lower_CI",2.8,575
7981,"upper_CI",4,9424
8000,"lower_CI",3,577
8000,"upper_CI",4.2,9422
8019,"lower_CI",2.2,579
8019,"upper_CI",4.1,9420
8038,"lower_CI",2.5,581
8038,"upper_CI",3.5,9418
8057,"lower_CI",2.4,583
8057,"upper_CI",3.3,9416
8076,"lower_CI",2.4,585
8076,"upper_CI",3,9414
8095,"lower_CI",1.7,587
8095,"upper_CI",2.6,9412
8114,"lower_CI",3.1,589
8114,"upper_CI",4.6,9410
8133,"lower_CI",2.2,591
8133,"upper_CI",3.1,9408
8152,"lower_CI",1.7,593
8152,"upper_CI",3.8,9406
8171,"lower_CI",1.7,595
8171,"upper_CI",3.1,9404
8190,"lower_CI",1.9,597
8190,"upper_CI",3.4,9402
8209,"lower_CI",2.1,599
8209,"upper_CI",4.1,9400
8228,"lower_CI",2,601
8228,"upper_CI",2.7,9398
8247,"lower_CI",1,603
8247,"upper_CI",2.2,9396
8266,"lower_CI",2.1,605
8266,"upper_CI",2.6,9394
8285,"lower_CI",2.5,607
8285,"upper_CI",3.3,9392
8304,"lower_CI",2,609
8304,"upper_CI",4.7,9390
8323,"lower_CI",2.2,611
8323,"upper_CI",2.8,9388
8342,"lower_CI",2.3,613
8342,"upper_CI",3.5,9386
8361,"lower_CI",1.9,615
8361,"upper_CI",3,9384
8380,"lower_CI",2.1,617
8380,"upper_CI",2.7,9382
8399,"lower_CI",1.2,619
8399,"upper_CI",3,9380
