provider_language_id,provider_id,language
3690,1090761,Persian
3691,1090761, Spanish
3693,1090761,Hebrew
3694,1090761,Spanish
3695,1090552,Spanish
3696,1090552, Navajo
3698,1090106,Spanish
3700,1090106,French
3701,1090106, Hindi
3702,1090106, Indian
3704,1090170,Chinese
3705,1090170, Persian
3708,1090566,Spanish
3709,1090566,Arabic
3710,1090566, Hindi
3711,1090566, Indian
3712,1090876,German
3714,1090445,Spanish
3716,1090445,Persian
3717,1090445, Spanish
3718,1090010,Spanish
3720,1089957,Spanish
3722,1090275,Spanish
3724,1089782,Spanish
3726,1090996,Korean
3727,1090996, Spanish
3729,1090996,Spanish
3730,1090996, Persian
3732,1091051,Spanish
3733,1091051, Vietnamese
3734,1089947,Arabic
3735,1089947, Armenian
3737,1089947,Spanish
3739,1089793,Portuguese
3740,1089793, Spanish
3741,1089793,Spanish
3742,1090281,Spanish
3744,1090344,Spanish
3746,1090344, Vietnamese
3747,1090856,Spanish
3749,1090856,Arabic
3750,1090856, Armenian
3751,1090856,Cantonese
3752,1090856, Spanish
3754,1090341,Hindi
3755,1090341, Indian
3756,1090341, Spanish
3759,1090468,Spanish
3760,1090468, Vietnamese
3762,1090217,Spanish
3763,1089675,Spanish
3765,1090263,Arabic
3766,1090263, Cantonese
3768,1090263,Spanish
3769,1090900,Persian
3770,1090900, Spanish
3772,1089864,Spanish
3774,1089864,Arabic
3775,1089864, Chinese
3776,1089864,Chinese
3777,1089864, Russian
3778,1089864, Vietnamese
3779,1091023,Hindi
3780,1091023, Indian
3781,1091023, Punjabi
3783,1091023,Korean
3784,1091023, Spanish
3785,1090388,Persian
3786,1090388, Russian
3788,1090388,Spanish
3789,1090345,Spanish
3790,1090345, Persian
3792,1090701,Persian
3793,1090701, Korean
3795,1090701,Spanish
3797,1089724,Spanish
3799,1090777,Spanish
3801,1090581,Spanish
3803,1090377,Cantonese
3806,1090626,Spanish
3808,1090626,Arabic
3809,1090626, Spanish
3810,1090626, French
3812,1090435,Spanish
3814,1090435,Arabic
3815,1090435, Hindi
3816,1090435, Indian
3817,1090435, Vietnamese
3818,1090431,Spanish
3820,1090431, Vietnamese
3821,1090408,Cantonese
3823,1090408,Persian
3824,1090408, Polish
3826,1090970,Arabic
3828,1090970,Spanish
3830,1090615,Gujarati
3831,1090615, Hindi
3832,1090615, Indian
3833,1090615,Hindi
3834,1090615, Spanish
3835,1090932,Arabic
3836,1090932, Armenian
3838,1090932,Spanish
3839,1090254,Chinese
3840,1090254, Persian
3842,1090254,Hindi
3843,1090254, Indian
3844,1090254, Punjabi
3846,1090118,Portuguese
3847,1090118, Spanish
3849,1090118,Persian
3850,1090118, French
3852,1090560,Spanish
3853,1089989,Spanish
3855,1089989,Cantonese
3856,1089989, Hindi
3857,1089989, Indian
3858,1089989, Korean
3859,1089989, Vietnamese
3860,1089989,Arabic
3861,1089989, Spanish
3862,1090331,Spanish
3864,1090176,Spanish
3866,1090176,Arabic
3867,1090176, Hindi
3868,1090176, Indian
3869,1090656,Chinese
3870,1090656, Persian
3872,1090656,Gujarati
3873,1090656, Spanish
3874,1090656,Spanish
3875,1090248,Korean
3877,1090248, Spanish
3878,1090248,Spanish
3879,1090990,Spanish
3882,1090348,Spanish
3883,1090348, Vietnamese
3884,1089693,Spanish
3887,1090074,Arabic
3888,1090074, French
3889,1089851,Cantonese
3890,1089851, Chinese
3892,1089851,Spanish
3895,1090739,Spanish
3896,1090438,Spanish
3898,1091083,Hindi
3899,1091083, Indian
3900,1091083, Punjabi
3902,1091083,Spanish
3904,1089925,Spanish
3906,1090107,Spanish
3907,1090107, Vietnamese
3909,1090107,Chinese
3910,1090107, Spanish
3911,1090107,Vietnamese
3913,1089672,Spanish
3914,1089672,Persian
3915,1089672, Russian
3916,1089672,Korean
3917,1089672, Persian
3918,1090032,Spanish
3920,1090032,Arabic
3921,1090032, French
3922,1090032, Vietnamese
3926,1089781,Navajo
3927,1089781, Spanish
3928,1090113,Hindi
3929,1090113, Indian
3930,1090113, Punjabi
3932,1090113,Spanish
3933,1090113, Hindi
3934,1090726,Vietnamese
3935,1090726, Spanish
3937,1090726,Persian
3938,1090726, Hebrew
3939,1090726,Korean
3941,1089780,Chinese
3942,1089780, Spanish
3943,1090140,Spanish
3946,1090646,Spanish
3947,1090702,Arabic
3948,1090702, French
3950,1090122,Spanish
3952,1089965,Spanish
3955,1090297,Spanish
3956,1090057,Spanish
3958,1090382,Spanish
3960,1090382,Albanian
3961,1090382, Arabic
3962,1090382,Arabic
3963,1090382, Hebrew
3964,1090980,Arabic
3965,1090980, French
3967,1090980,Korean
3968,1090980, Spanish
3969,1089831,Spanish
3971,1090303,Spanish
3973,1090950,Spanish
3975,1090950,Arabic
3976,1090950, Armenian
3977,1090950,Hindi
3978,1090950, Indian
3979,1090950, Spanish
3980,1090950,Korean
3981,1090123,Spanish
3983,1090123,Arabic
3984,1090123, French
3985,1090123,Hindi
3986,1090123, Indian
3987,1090123, Spanish
3988,1089996,Spanish
3990,1091080,Spanish
3992,1091080, Vietnamese
3993,1090201,Spanish
3995,1090201,Persian
3997,1090033,Spanish
3998,1089868,Spanish
4000,1090773,Spanish
4002,1090773,Chinese
4003,1090773, Persian
4005,1089906,Spanish
4006,1089906, Vietnamese
4007,1090979,Spanish
4009,1089841,Spanish
4011,1090152,Persian
4012,1090152, Hindi
4013,1090152, Indian
4015,1090152,Korean
4016,1090152, Spanish
4017,1090152,Spanish
4018,1090152, Korean
4020,1090315,Spanish
4023,1090575,Spanish
4025,1090058,Spanish
4027,1090729,Spanish
4030,1089760,Hindi
4031,1089760, Indian
4032,1089760, Punjabi
4034,1089760,Spanish
4036,1090544,Persian
4037,1090544, Korean
4038,1090544,Spanish
4039,1090283,Spanish
4041,1090572,Arabic
4042,1090572, German
4045,1090964,Korean
4048,1089688,Spanish
4050,1089688,French
4051,1089688, Spanish
4052,1089688,Arabic
4053,1090878,Cantonese
4054,1090878, Italian
4056,1090878,Persian
4057,1090878, Hebrew
4058,1090878,Spanish
4060,1090338,Spanish
4062,1090338, Vietnamese
4064,1091077,Hindi
4065,1091077, Indian
4066,1091077, Punjabi
4068,1091077,Spanish
4069,1089723,Hindi
4070,1089723, Indian
4071,1089723, Korean
4073,1089723,Spanish
4074,1089648,Persian
4075,1089648, Hebrew
4077,1089648,Spanish
4079,1090860,Arabic
4080,1090860, Persian
4081,1090860,Spanish
4082,1089718,Persian
4083,1089718, French
4086,1090721,Spanish
4089,1090585,Spanish
4091,1089669,Hindi
4092,1089669, Indian
4093,1089669, Spanish
4095,1089669,Spanish
4096,1090311,Spanish
4098,1090807,Arabic
4100,1090807,Spanish
4101,1090807, French
4102,1090131,Arabic
4103,1090131, Persian
4105,1090131,Hindi
4106,1090131, Indian
4107,1090131, Spanish
4108,1091002,Spanish
4110,1091002,Arabic
4111,1091002, German
4113,1090257,Spanish
4116,1090840,Spanish
4117,1090840,Arabic
4118,1090840, Hindi
4119,1090840, Indian
4120,1090434,Spanish
4122,1090135,Spanish
4127,1089992,Spanish
4129,1089992,Korean
4130,1089992, Spanish
4131,1089992, Vietnamese
4132,1090832,Spanish
4134,1090484,Russian
4135,1090484, Spanish
4137,1089800,Hebrew
4138,1089800, Italian
4140,1089800, Hindi
4141,1089800, Indian
4143,1090555,Spanish
4145,1090555,Persian
4146,1090555, Korean
4147,1090555, Portuguese
4148,1090816,German
4150,1090816,Korean
4151,1090816, Spanish
4152,1090482,Arabic
4153,1090482, Chinese
4155,1090482,Chinese
4156,1090482, Persian
4157,1090256,Spanish
4159,1090472,Spanish
4161,1090472,Hindi
4162,1090472, Indian
4163,1090472, Spanish
4164,1090511,Spanish
4167,1090541,Spanish
4168,1090541, Vietnamese
4169,1090631,Hebrew
4170,1090631, Italian
4172,1090836,Spanish
4174,1090836,Portuguese
4175,1090836, Spanish
4176,1090134,Spanish
4178,1090322,Arabic
4179,1090322, Cantonese
4181,1090322,Korean
4182,1090322, Spanish
4183,1090322,Spanish
4184,1090424,Spanish
4186,1090271,Spanish
4188,1090271,Arabic
4189,1090271, Cantonese
4191,1089930,Spanish
4192,1089930,French
4193,1089930, Italian
4194,1090395,Vietnamese
4195,1090395, Spanish
4197,1089753,Vietnamese
4198,1089753, Spanish
4200,1089753,Korean
4201,1090062,Spanish
4203,1090062,Arabic
4204,1090062, Spanish
4205,1090529,Spanish
4207,1090529,Portuguese
4208,1090529, Spanish
4209,1089677,Spanish
4211,1089677,Swedish
4212,1089677,French
4213,1089677,Hindi
4214,1089677, Indian
4215,1089677, Hindi
4216,1089777,Spanish
4218,1090007,Spanish
4221,1090000,Spanish
4222,1090000, Vietnamese
4223,1089914,Chinese
4224,1089914, Russian
4226,1090013,Albanian
4228,1090013,Persian
4229,1090013, Spanish
4230,1090652,Spanish
4232,1090652,Portuguese
4233,1090652, Spanish
4235,1090195,Spanish
4238,1090184,Spanish
4239,1090184,French
4240,1090184, Spanish
4241,1090184,Arabic
4243,1090017,Persian
4244,1090017, Spanish
4246,1090017,Spanish
